Plant_Name,PrimSource,Total_MW,latitude,longitude
Riceland Foods Cogeneration Plant,biomass,8.00000000000,34.51360000000,-91.53310000000
SJ/SC WPCP,natural gas,8.40000000000,37.43440000000,-121.94640000000
Blue Canyon Windpower,wind,74.30000000000,34.85078100000,-98.57731100000
Blacksand Generating Facility,other,5.80000000000,33.93280000000,-117.85500000000
South Dakota Wind Energy Cente,wind,40.50000000000,44.54920000000,-99.50000000000
TransAlta Wyoming Wind,wind,144.00000000000,41.28740000000,-110.55560000000
Oklahoma Wind Energy Center,wind,102.00000000000,36.60396700000,-99.34004700000
New Mexico Wind Energy Center,wind,204.00000000000,34.63566000000,-104.04733000000
Hillsboro,petroleum,4.00000000000,47.39694400000,-97.06055500000
FPL Energy North Dakota Wind I/II,wind,61.50000000000,46.32716900000,-98.89835600000
St. Charles Power Plant,petroleum,8.00000000000,43.97420000000,-92.05970000000
Currant Creek,natural gas,524.00000000000,39.82144000000,-111.89345000000
Mankato Energy Center,natural gas,330.00000000000,44.19880000000,-94.00300000000
T J Labbe Electric Generating,natural gas,94.00000000000,30.25540000000,-92.04330000000
Brazos Wind Farm,wind,160.00000000000,32.94793000000,-101.14778400000
Mountain View III,wind,22.40000000000,33.91410000000,-116.59140000000
Tessman Road,biomass,9.80000000000,29.42890000000,-98.34330000000
IMEA Highland,petroleum,3.60000000000,38.74170000000,-89.68470000000
IMEA Flora,petroleum,9.00000000000,38.66580000000,-88.46250000000
Flora Site A,petroleum,5.40000000000,38.66930000000,-88.46350000000
Flora Site B,petroleum,3.70000000000,38.67140000000,-88.48940000000
Middlesex Generating Facility,biomass,18.80000000000,40.49030000000,-74.31560000000
Lee County Landfill,biomass,10.60000000000,34.18104200000,-80.26777700000
Anderson Regional Landfill,biomass,3.00000000000,34.57390000000,-82.46210000000
Richland County Landfill,biomass,8.20000000000,34.10299600000,-80.79049400000
Minwind 3-9,wind,11.60000000000,43.63830000000,-96.39194400000
Springville Hydroelectric,hydroelectric,1.00000000000,34.22530000000,-119.08580000000
Sub 2 Generating Station,petroleum,3.60000000000,39.75030000000,-92.50000000000
Macon Energy Center,natural gas,8.50000000000,39.74897500000,-92.38447600000
Sub 3 Generating Station,petroleum,7.20000000000,39.76138900000,-92.45333300000
Thermal Kem,petroleum,2.40000000000,34.88940000000,-81.07250000000
