Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec
1400000US36047047700,36047047700,"Census Tract 477, Kings County, New York",3602,2717,351,50,0,71,0,21,51,0,0,0,28,113,8,0,0,0,0,0,0,0,29,78,0,68,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0
1400000US36047047800,36047047800,"Census Tract 478, Kings County, New York",3785,1165,711,3,0,17,0,0,1385,0,0,0,89,66,0,0,0,8,0,16,0,0,24,46,6,0,0,0,0,0,0,0,0,0,0,0,70,97,82,0,0
1400000US36047048000,36047048000,"Census Tract 480, Kings County, New York",3151,892,673,42,0,6,0,0,377,0,0,0,385,54,0,104,0,0,0,0,40,132,79,31,6,0,0,0,0,0,0,102,0,0,0,0,13,0,215,0,0
1400000US36047048100,36047048100,"Census Tract 481, Kings County, New York",2958,1417,1096,62,0,25,0,0,17,0,0,20,15,38,0,0,0,0,0,23,0,102,10,82,24,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0
1400000US36047048200,36047048200,"Census Tract 482, Kings County, New York",5092,1379,271,26,63,38,0,0,72,5,0,0,976,0,0,66,0,283,0,0,726,506,97,195,25,0,0,0,0,0,0,225,0,0,0,0,0,15,47,0,77
1400000US36047048400,36047048400,"Census Tract 484, Kings County, New York",5497,1788,418,0,79,42,0,3,1728,0,0,0,788,65,0,0,0,29,0,0,35,107,86,8,0,0,0,0,0,0,0,60,0,0,0,0,0,36,225,0,0
1400000US36047048500,36047048500,"Census Tract 485, Kings County, New York",2947,1670,1056,29,25,14,6,19,11,0,0,0,24,19,0,0,0,0,0,0,0,0,0,21,15,20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
1400000US36047048600,36047048600,"Census Tract 486, Kings County, New York",3094,534,1076,0,0,12,0,0,137,0,0,0,47,0,0,0,0,0,0,44,114,697,20,292,0,18,0,0,0,0,0,44,0,0,0,0,0,21,38,0,0
1400000US36047048800,36047048800,"Census Tract 488, Kings County, New York",3745,1632,678,0,104,0,0,0,77,0,9,6,117,67,21,29,0,0,0,0,22,796,25,30,0,0,0,0,0,0,0,51,0,0,0,0,0,38,43,0,0
1400000US36047048900,36047048900,"Census Tract 489, Kings County, New York",3568,1410,2153,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
