Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",7569,2593,4160,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,77,0,474,0,0.5759618023192661
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",4148,1528,2337,97,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.5451849551177317
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",2376,1018,1290,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.5213661587819838
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",5267,1423,2336,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,973,0,83,0,0,0,0,0,0,0,0,8,0,0,0,0,364,0,51,0,0.6910342197869753
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",3449,1131,1973,160,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,128,0,0.5615422037104305
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",3468,1535,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,42,0,0.5091269461173438
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",5050,2132,2729,85,10,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.5292595627879619
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",5061,1661,2854,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,10,80,0.569887444311586
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",1814,506,1175,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.4989886330622173
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",5864,2032,2900,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,228,0,0,0,0,0,0,173,0,0,0,0,0,0,101,0,215,0,0.6303742027102732
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",5709,1677,3914,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.4434334812775911
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",6258,939,4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,167,287,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,311,27,0.4571605679342141
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",2142,920,1034,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0.5795420564740057
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",5508,1146,3956,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,321,0,0.43732948813081807
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",3731,1666,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0.5425399528072583
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",5668,1569,3977,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0.4308384328018131
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",3214,1102,2044,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47772540716196144
