Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,ORG_PT023_001,ORG_PT023_002,ORG_PT023_003,ORG_PT023_004,ORG_PT023_005,ORG_PT023_006,ORG_PT023_007,ORG_PT023_008,ORG_PT023_009,ORG_PT023_010,ORG_PT023_011,ORG_PT023_012,ORG_PT023_013,ORG_PT023_014,ORG_PT023_015,ORG_PT023_016,ORG_PT023_017,ORG_PT023_018,ORG_PT023_019,ORG_PT023_020,ORG_PT023_021,ORG_PT023_022,ORG_PT023_023,ORG_PT023_024,ORG_PT023_025,ORG_PT023_026,ORG_PT023_027,ORG_PT023_028,ORG_PT023_029
"36081051600","Census Tract 516","Census Tract 516, Queens County, New York","00","36","081","051600",2260,2022,1556,29,0,5,0,0,0,0,5,83,0,8,336,238,131,63,0,13,7,0,0,0,0,16,0,8,0
"36081051700","Census Tract 517","Census Tract 517, Queens County, New York","00","36","081","051700",2154.989,1723.342,876.7005,0.7030195,0.4100947,65.86739,358.7937,20.14563,14.20773,5.556446,158.5796,11.22641,0,129.1379,82.01403,431.6469,2.497693,0,0.8144578,48.22942,157.3762,18.65289,12.63428,13.97626,72.17914,6.54874,0,78.44714,20.29066
"36081051800","Census Tract 518","Census Tract 518, Queens County, New York","00","36","081","051800",2698,2473,2177,18,0,0,0,0,0,0,9,81,0,0,188,225,126,63,0,9,0,0,0,0,18,9,0,0,0
"36081052000","Census Tract 520","Census Tract 520, Queens County, New York","00","36","081","052000",1820,1668,1192,22,0,5,5,0,0,0,11,41,0,29,363,152,88,19,0,23,0,0,0,0,0,13,0,9,0
"36081052100","Census Tract 521","Census Tract 521, Queens County, New York","00","36","081","052100",1733.406,1486.144,839.2329,0,0,102.2837,168.287,38.39154,5.323593,0.2610077,192.7518,0.6264184,0,87.30576,51.67993,247.2626,15.61542,0,9.185542,40.06199,40.84598,5.532399,0.5742169,0.7308215,78.66235,0.3654107,0,54.5922,1.096232
"36081052200","Census Tract 522","Census Tract 522, Queens County, New York","00","36","081","052200",1726,1541,1363,7,0,8,6,0,0,0,0,35,0,0,122,185,149,22,0,0,0,0,0,0,0,6,8,0,0
"36081052400","Census Tract 524","Census Tract 524, Queens County, New York","00","36","081","052400",1771,1591,1426,4,0,0,0,0,0,0,0,52,0,5,104,180,152,7,0,0,0,0,0,0,0,6,0,9,6
"36081052500","Census Tract 525","Census Tract 525, Queens County, New York","00","36","081","052500",1839,1574,998,19,0,109,55,6,0,15,208,0,0,44,120,265,97,0,0,77,11,0,0,0,74,0,0,6,0
"36081052600","Census Tract 526","Census Tract 526, Queens County, New York","00","36","081","052600",2143,1977,1708,0,0,0,0,0,0,0,0,11,6,18,234,166,127,0,0,0,0,0,0,0,6,24,6,0,3
"36081052800","Census Tract 528","Census Tract 528, Queens County, New York","00","36","081","052800",1456,1369,1165,8,0,0,15,0,0,0,0,63,0,0,118,87,68,7,0,0,0,0,0,0,0,6,0,6,0
